name,meanLoss,meanPhi,violProb,meanScore,cvarScore
BASELINE,17.1397877542048,0.650002291145658,1,82.1400168687706,123.403054110826
BUS-9,14.870417004835,0.00196479832966493,0.336016096579477,15.0668968378015,19.8484285443702
MID-9-10,15.1290674087006,0.00350866422680189,0.456740442655936,15.4799338313808,20.7653525377302
MID-7-9,14.921333694272,0.00487199050091014,0.450704225352113,15.408532744363,21.4850734039289
BUS-10,15.2933653035654,0.00546249713710267,0.537223340040241,15.8396150172756,21.885448455267
MID-9-14,15.6515301453859,0.00656114396648799,0.670020120724346,16.3076445420347,22.3633146697077
BUS-14,15.8589505584798,0.0106054823628896,0.774647887323944,16.9194987947688,24.6833210852189
BUS-7,14.9566536596188,0.0184039458680646,0.780684104627767,16.7970482464252,25.1722051028202
MID-10-11,15.6848421470564,0.0160051117326881,0.816161616161616,17.2853533203252,25.2517731741458
BUS-11,15.8171529035833,0.0268371308143636,0.887323943661972,18.5008659850197,29.3222662691514
MID-13-14,16.0131217272806,0.0272481084140741,0.84040404040404,18.737932568688,30.225956099997
